Author,Title ,Cited in,ID in Kitab database,Other
Sulaym ibn Qays al-Hilālī,Kitab Sulaym b. Qays al-Hilali,Bursi,0085SulaymIbnQaysHilali.KitabSulaym,https://hubeali.com/books/English-Books/The-Book-Of-Sulaym-Bin-Qays-Al-Hilali/Kitab_Sulaym_PI.pdf
Muʇahid Gabr B.,Tafsi¯r Al-imam Mujahid Ibn Jabr,Bursi,0104MujahidIbnJabr.Tafsir,
al-Hasan al-Basri A.S.Y.,Fadā'il Makka wa-l-sakan fīhā,Bursi,0110HasanBasri.FadailMakka,
Sulaymân M.B.,Tafsir Muqatil b. Sulayman,Bursi,0150MuqatilIbnSulayman.TafsirMuqatil,
Ibn Is'haq M.,Kitab al-Siyar wa-al-Maghazi,Bursi,0151IbnIshaq.Sira,
Anas M.B.,Al-Muwatta,Bursi,0179MalikIbnAnas.Muwatta,
Ibn al-Mubarak A.A.,Kitab al-Zuhd wa yalihi Kitab al-Raqa'iq,Bursi,0181IbnMubarak.Zuhd,
al-Shaybani M.B.-H.,Kitab al-Athar,Bursi,0189MuhammadShaybani.Athar,
"al-Shaybani, Muhammad ",Kitab al-Siyar,Goldziher,0189MuhammadShaybani.Siyar,
Ibn Wahb A.,Al-ǧāmi': Die Koranwissenschaften,Bursi,0197IbnWahbQurashi.JamicFiHadith,
Ibn Wahb A.A.-Q.,Al-Jami fi-l-hadith,Bursi,0197IbnWahbQurashi.JamicFiHadith,
Ibn Wahb A.A.-Q.,Kitab al-Muharaba min al-Muwatta',Bursi,0197IbnWahbQurashi.MuharabaMinMuwattaIbnWahb,
al-Tayalisi A.D.S.B.D.-J.,Musnad Abi Dawud al-Tayalisi,Bursi,0204AbuDawudTayalisi.Musnad,
Ibn al-Kalbi H.B.M.,NasabMa'add wa-l-Yaman al-kabir,Bursi,0204IbnKalbi.NasabMacad,
al-Shafi'i M.B.I.,Al-Umm,Bursi,0204Shafici.Umm,
Al-Waqidi,Kitāb Al-maghāzī,Bursi,0207Waqidi.Maghazi,
Al-San'ani A.A.-R.H.,Al-Musannaf,Bursi,0211CabdRazzaqSancani.Musannaf,
Al-San'ani A.A.-R.H.,Tafsir Abd al-Razzaq,Bursi,0211CabdRazzaqSancani.Tafsir,
Ibn Hisham A.-M.,Kitab Sirat Rasul Allah: Das Leben Muhammed's nach Muhammed Ibn Ishak bearbeitet von Abd el-Malik Ibn Hischam,Bursi,0213IbnHisham.SiraNabawiyya,
al-Humaydi A.B.A.A.B.A.-Z.-Q.,Musnad al-Humaydi,Bursi,0219IbnZubayrHumaydi.Musnad,
Hammad N.I.,Kitab al-fitan,Bursi,0228IbnHammadKhuzaci.Fitan,
Ibn Al-Ja'd B 'Ubayd A.,Musnad Ibn Al-Ja'd,Bursi,0230CaliIbnJacd.Musnad,
Ibn Sa'd M.,Kitab al-Tabaqat al-kabir,Bursi,0230IbnSacd.TabaqatKubra,
"Shayba I.A., Muhammad A.B.A.A.B.",Al-Muşannaf,Bursi,0235IbnAbiShayba.Musannaf,
"Shayba I.A., Muhammad A.B.A.A.B.",Musnad Ibn Abi Shayba,Bursi,0235IbnAbiShayba.Musnad,
al-Mus'ab B.A.A.-Z.,Kitab Nasab al-Quraysh,Bursi,0236AbuCabdAllahZubayri.NasabQuraysh,
al-Andalusi A.A.-M.H.,Al-Wadiha: Kutub al-salat wa-kutub al-hajj,Bursi,0238IbnHabibQurtubi.WadihaFiSunan,
Ibn Rahwayh I.B.I.B.M.-H.-M.,Musnad Ishaq ibn Rahwayh,Bursi,0238IbnRahawayh.Musnad,
Ibn Khayyat K.,Kitab al-Tabaqât,Bursi,0240IbnKhayyatCusfuri.Tabaqat,
Ibn Khayyat K.,Kitab al-Târîkh,Bursi,0240IbnKhayyatCusfuri.Tarikh,
Ibn Hanbal A.,Kitab al-'Ilal wa-ma'rifat al-rijal,Bursi,0241IbnHanbal.CilalWaMacrifa,
Ibn Hanbal A.,Kitab Fada'il al-sahaba,Bursi,0241IbnHanbal.FadailSahaba,
Hanbal A.A.A.B.,Masa'il al-Imam Ahmad ibn Hanbal,Bursi,0241IbnHanbal.MasailRiwayatCabdAllah,
Ibn Hanbal A.,Musnad al-Imam Ahmad ibn Hanbal,Bursi,0241IbnHanbal.Musnad,
Ibn Hanbal A.,Al-Zuhd,Bursi,0241IbnHanbal.Zuhd,
"al-Azraqī, Muh Ammad B., Allāh A.",Akhbār makkah wa mā jā' fīhāmin al-āthār,Bursi,0249Azraqi.AkhbarMakka,
al-Darimi A.A.B.A.-R.,Musnad al-Darimi al-ma'ruf bi-Sunan al-Darimi,Bursi,0255CabdAllahDarimi.Sunan,
al-Jahiz A.U.A.B.B.,Al-Bayan wa-l-tabyin,Bursi,0255Jahiz.BayanWaTabyin,
al-Jahiz A.U.A.B.B.,Kitab al-Hayawan,Bursi,0255Jahiz.Hayawan,
al-Jahiz A.U.A.B.B.,Rasa'il al-Jahiz,Bursi,0255Jahiz.Rasail,
Al Jahiz A.,Kitāb Al-Tarbī' Wa L-tadwīr,Bursi,0255Jahiz.TarbicWaTadwir,
al-Bukhari M.B.I.,Sahih al-Imam al-Bukhari ,Bursi,0256Bukhari.Sahih,
al-Bukhari M.B.I.,Sahih al-Bukhan',"Bursi, Goldziher",0256Bukhari.Sahih,
al-Bukhari M.B.I.,Kitab al-Ta'rikh al-kabir,Bursi,0256Bukhari.TarikhKabir,
Bakkar A.-Z.B.,Akhbar al-Muwaffaqiyyat,Bursi,0256ZubayrIbnBakkar.AkhbarMuwaffaqiyyat,
Bakkar A.-Z.B.,Jamharat nasab Quraysh wa-akhbaruha,Bursi,0256ZubayrIbnBakkar.JamharatNasabQuraysh,
al-Hakam I.A.,"Futûh Misr, wa'l Maghrib wa'l Andalus",Bursi,0257IbnCabdHakam.FutuhMisr,
al-Hajjaj al-Qushayri M.B.,Sahih Muslim,Bursi,0261Muslim.Sahih,
Ibn Shabba U.,Ta'rikh al-Madina al-munawwara,Bursi,0262CumarIbnShabba.TarikhMadina,
al-Fakihi A.A.A.M.B.I.B.A.-A.,Akhbar Makka fi qadim al-dahr wa-hadithihi,Bursi,0272IbnIshaqFakihi.AkhbarMakka,
Al-Barqi,Kitāb Al-mahāsin,Bursi,0274AhmadBarqi.Mahasin,
?,Al-Marasil,Bursi,0275AbuDawudSijistani.Marasil,
Abū Dāwūd Sulaymān ibn al-Ash’ath al-Sijistānī ,Masa'il al-imam Ahmad riwayat AbiDawud Sulaymän ibn al-Ash'ath al-Sijistani',Bursi,0275AbuDawudSijistani.MasailImamAhmad,
Ibn Qutayba A.A.B.M.,The Excellence of the Arabs,Bursi,0276IbnQutaybaDinawari.FadlCarab,
Ibn Qutaybah,Kitab al-Ma’arif,Margolioth,0276IbnQutaybaDinawari.Macarif,
Qutayba I.,al-Ma'ārif,Bursi,0276IbnQutaybaDinawari.Macarif,
al-Fasawi Y.B.S.,Kitab al-Ma'rifa wa-l-ta'rikh,Bursi,0277IbnSufyanFasawi.MacrifaWaTarikh,
al-Baladhuri A.B.Y.,Ansab al-ashraf,Bursi,0279Baladhuri.AnsabAshraf,
Al-Baladhuri,Futuh al-Buldan,Bursi,0279Baladhuri.FutuhBuldan,
Ibn Abi Khaythama A.Z.B.H.,Al-Ta'rikh al-kabir al-ma'ruf bi-Ta'rikh Ibn Abi Khaythama,Bursi,0279IbnAbiKhaythama.TarikhKabir,
al-Hawwari H.B.M.,Tafsir Kitab Allah al-'aziz,Bursi,0280HudHawwari.Tafsir,
Al-Dunya I.A.,Kitab Al-Mawt Wa-Kitab Al-Qubur,Bursi,0281IbnAbiDunya.DhikrMawt,
Al-Dunya I.A.,Kitab Hilm Mu'awiya,Bursi,0281IbnAbiDunya.HilmMucawiya,
Al-Dunya I.A.,Kitab al-Qubur,Bursi,0281IbnAbiDunya.Qubur,
"Al-Dinawari A.H., Guirgass V.",Kitab Al-akbhar At-tiwal,Bursi,0282AbuHanifaDinawari.AkhbarTiwal,
Ibn Hilāl al-Thaqafī A.I.I.M.S.B.B.,Al-Ghārāt,Bursi,0283AbuIshaqThaqafi.Gharat,
Al-Buhturi (d. 284/897),Hamasah,Goldziher,0284Buhturi.Hamasa,
Muhammad ibn Yazid al-Mubarrad ,Al-Kamil,Goldziher,0285IbnYazidMubarrad.KamilFiLugha,
Waddah M.B.,Kitab al-bida’ (Tratado Contra Las Innovaciones),Bursi,0286IbnWaddahQurtubi.Bidac,
"Asim I.A., Amr A.B.A.B.",Al-Ahad wa-l-mathani',Bursi,0287IbnAbiCasim.AhadWaMathani,
"Asim I.A., Amr A.B.A.B.",Kitab al-Salat 'ala. al-nabi',Bursi,0287IbnAbiCasim.Salat,
al-Saffar A.J.M.B.A.-H.B.F.,Basa'ir al-Darajatfifada'il al Muhammad,Bursi,0290IbnHasanSaffar.BasairDarajat,
al-Bazzar A.B.A.B.A.B.A.-K.-A.,Al-Bahr al-zakhkhar al-ma'ruf bi-Musnad al-Bazzar,Bursi,0292AbuBakrBazzar.BahrZakhkhar,
Al-Ya'qubi A.,Kitab Al-Buldan,Bursi,0292Yacqubi.Buldan,
al-Ya'qubi A.B.A.Y.B.J.B.W.B.W.,Ta'rikh,Bursi,0292Yacqubi.Tarikh,
"al-Nābulusī, ʿAbd al-Ghanī ibn Ismāʿīl ",Tarikh al-Ya'qubi: wa-huwa tarikh Ahmad ibn Abi Ya'qub ibn Ja'far ibn Wahb ibn Wadih al-Katib al-Abbasi al-ma'ruf bi-al-Ya'qubi. Beirut: Dar Sadirs,Abdulfattah,0292Yacqubi/0292Yacqubi.Tarikh),
Khurradadhbih I.,Kitāb al-masālik wa 1-mamālik,Bursi,0300IbnKhurdadhbih.MasalikWaMamalik,
Rustah I.,Kitāb aʿlāq al-nafīsa,Bursi,0300IbnRusta.AclaqNafisa,
al-Nasa'i A.B.S.,Kitab al-Sunan al-Kubra,Bursi,0303Nasai.SunanKubra,
Al-Nasa'i A.B.'A.B.S.,Sunan Al-Nasa'i,Bursi,0303Nasai.SunanSughra,
Ali al-Muthanna al-Taymi A.Y.A.B.,MusnadAbiYa'laal-Mawsili',Bursi,0307AbuYaclaMawsili.Musnad,
Al-Dulabi M.B.A.,Al-Kunā Wa'l-asmā,Bursi,0310IbnAhmadDulabi.KunaWaAsma,
al-Tabari M.B.J.,Tafsiral-Tabari: Jamial-Bayan 'an ta'wîlay al-Qur'an,Bursi,0310Tabari.JamicBayan,
al-Tabari M.B.J.,Ta'rikh al-rusul wa-l-muluk,"Bursi, Meri, Goldziher",0310Tabari.Tarikh,
al-Khallal A.B.A.B.M.,Ahl al-milal wa-l-ridda wa-l-zanadiqa wa-tarik al-salat wa-l-fară'id min Kitab al-Jami',Bursi,0311AbuBakrKhallal.AhkamAhlMilal,
Ibn Khuzayma al-Sulamī al-Naysābūrī A.B.M.B.I.,Sahīh Ibn Khuzayma,Bursi,0311IbnKhuzaymaNaysaburi.Sahih,
Ibn Khuzayma M.B.I.,Kitabal-Tawhid wa-ithbatsijatal-rabb 'azza wa- jalla,Bursi,0311IbnKhuzaymaNaysaburi.Tawhid,
Ibn A'tham A.-K.,Kitab al-Futuh,Bursi,0314IbnActhamKufi.Futuh,
al-'Ayyashi A.-N.M.B.M.,Tafsiral-Ayyashi',Bursi,0320IbnMascudCayyashi.Tafsir,
al-'Uqayli A.J.M.B.A.,Kitab al-Du'afa'al-kabir,Bursi,0322AbuJacfarCuqayli.DucafaKabir,
